Number of citation,Name of citation,what is it,which pages are cited?,total number of pages,actual pages cited,what is it cited for,qué se cita exactamente de esta fuente,is the cited information in the source?,support evidence / caveat,audit action
1,Toward Environment-Aware 6G Communications via Channel Knowledge Map,Journal article,84-91,8,"16, 22, 39, 102","Introduction; General Framework: CKM Surrogates and Evaluation Contracts; Channel knowledge maps and dense radio map prediction. Context: verage prediction is a central requirement for future 6G systems. A channel knowledge map (CKM) is a site specific repository of channel information that can support environment aware planning and reduce online channel acquisition overhead [citation] . Classical ray tracing can generate detailed CKMs, but it is too expensive to repeat for every candidate cit",El concepto de CKM como base de datos específica del entorno con información de canal útil para comunicaciones conscientes del entorno y para reducir la adquisición online de CSI.,SUPPORTED,Local PDF supports CKM as a site specific database of channel related information for environment aware wireless communications and reduced online CSI acquisition.,No thesis wording change needed.
2,A Tutorial on Environment-Aware Communications via Channel Knowledge Map for 6G,Journal article,1478-1519,42,"16, 22, 102","Introduction; General Framework: CKM Surrogates and Evaluation Contracts. Context: verage prediction is a central requirement for future 6G systems. A channel knowledge map (CKM) is a site specific repository of channel information that can support environment aware planning and reduce online channel acquisition overhead [citation] . Classical ray tracing can generate detailed CKMs, but it is too expensive to repeat for every candidate cit","La definición tutorial de CKM y sus tipos de información, incluyendo ganancia, ángulos y retardo, como marco para 6G consciente del entorno.",SUPPORTED,"Local tutorial PDF supports CKMs as location tagged channel knowledge, including channel gain, angles, and delay information for environment aware 6G.",No thesis wording change needed.
3,Uncrewed Aerial System (UAS) Support in 3GPP; Stage 1,Standard / technical report,,,"16, 102","Introduction. Context: er height and deployment assumption. Unmanned aerial vehicles (UAVs) make this prediction problem more useful and more difficult. In Third Generation Partnership Project (3GPP) terminology, a UAV mounted radio access node is called a UxNB [citation] , so the transmitter height is no longer a fixed rooftop constant. It becomes a continuous input that changes",La terminología 3GPP UxNB y la idea de un nodo de acceso radio montado en un UAV.,SUPPORTED WITH CAVEAT,Official 3GPP/ETSI TS 22.125 material supports UxNB as a radio access node on board a UAV and requirements for UxNB operation. The audit folder does not include a local copy of the whole standard.,No thesis wording change needed; keep the source as an official specification rather than a paper.
4,How Much Data Is Needed for Channel Knowledge Map Construction?,Journal article,13011-13021,11,"22, 102","General Framework: CKM Surrogates and Evaluation Contracts. Context: g, support planning, and provide initial channel knowledge before online measurements are available. Recent CKM literature also clarifies why the thesis uses a large offline ray traced dataset rather than sparse field samples. Xu and Zeng [citation] analyse how CKM construction error depends on spatial sample density and on the number of neighbouring samples","La relación entre densidad de muestras, vecinos usados y error de construcción de un CKM.",SUPPORTED,"Local PDF studies CKM construction error versus spatial sample density and number of neighbouring samples, matching the measurement density/cost accuracy tradeoff citation.",No thesis wording change needed.
5,Dataset of Pathloss and ToA Radio Maps With Localization Application,Dataset,,6,"22, 25-26, 38, 102","Dataset and split; General Framework: CKM Surrogates and Evaluation Contracts; Image to image translation baselines. Context: nDataset and split sec:methodology_dataset_split The data source is CKM_Dataset_270326.h5, a project HDF5 version of the CKM radio map data associated with the public path loss and ToA radio map dataset of Yapar et al.~ [citation] . At dataset level, it contains 16180 ray traced urban samples from 66 real city scenarios. The fields used by the final pipeline","El dataset público de mapas de path loss y ToA, el marco RadioMapSeer y el rango de path loss de 80 dB usado para convertir errores normalizados.",SUPPORTED AFTER TEXT CHANGE,Local PDF supports the RadioMapSeer style pathloss/ToA radio map dataset and states that pathloss values were scaled as images with an 80 dB PL range.,Added this citation to the RadioUNet conversion sentence in state_of_art.tex so the 80 dB range is attributed to the dataset source.
6,The First Pathloss Radio Map Prediction Challenge,Conference paper,1-2,2,"22, 25-26, 87, 102","Comparison with closest state of the art metrics; Comparison with nearby SOA metrics; General Framework: CKM Surrogates and Evaluation Contracts. Context: L RMSE is close to the reported RadioMapSeer dB scale range, while remaining above its best DPM number. & Outdoor simulated terrestrial maps; held out test layouts, but no transmitter height or spread targets. \\ PMNet / ICASSP~2023 winner [citation] & approx.\ 1.38dB converted from the RadioMap3DSeer normalized score & Final PL is close but higher under a d","El contrato del reto ICASSP 2023: dataset RadioMap3DSeer, conjunto de test oculto y métrica RMSE para mapas de path loss.",SUPPORTED,"Local PDF supports the ICASSP 2023 pathloss radio map prediction challenge, RadioMap3DSeer training data, held out challenge test data, and RMSE evaluation contract.",No thesis wording change needed.
7,Radio Map Estimation: An Open Dataset with Directive Transmitter Antennas and Initial Experiments,arXiv preprint,,13,"22, 102","General Framework: CKM Surrogates and Evaluation Contracts. Context: ath loss challenge. RadioMap3DSeer [citation] and the ICASSP~2023 challenge [citation] provide the closest open benchmark family for path loss image prediction, while the directive antenna dataset of Jaensch et al.\ [citation] and CKMImageNet [citation] show the broader move toward open, location specific datasets with richer channel and environment represen",Un dataset abierto de estimación de radio maps con antenas transmisoras directivas.,SUPPORTED,Local PDF supports an open radio map estimation dataset with directive transmitter antennas and initial experiments.,No thesis wording change needed.
8,CKMImageNet: A Dataset for AI-Based Channel Knowledge Map Toward Environment-Aware Communication and Sensing,Journal article,14430-14443,14,"22, 63, 102","General Framework: CKM Surrogates and Evaluation Contracts. Context: t2212 and the ICASSP~2023 challenge [citation] provide the closest open benchmark family for path loss image prediction, while the directive antenna dataset of Jaensch et al.\ [citation] and CKMImageNet [citation] show the broader move toward open, location specific datasets with richer channel and environment representations. The CKM dataset used in this th",CKMImageNet como ejemplo reciente de dataset CKM rico para comunicación y sensado conscientes del entorno.,SUPPORTED,Local PDF supports CKMImageNet as an AI based CKM dataset for environment aware communication and sensing.,No thesis wording change needed.
9,Wireless Communications: Principles and Practice,Book,,,"23, 44-45, 47, 51, 59, 102","prior_detail_overview.tex; High level architecture; Literature ingredients and thesis adaptations. Context: des the entry point for the ML calibrated physical path loss and spread priors and the HARP-Net CKM residual architecture. The propagation ingredients follow classical FSPL, two-ray, empirical NLoS and large scale parameter models [citation] , while the residual network inherits dense prediction, FiLM conditioning and distribution aware regression ideas [cit","Los fundamentos clásicos de FSPL, propagación de dos rayos y vocabulario de propagación a gran escala.",SUPPORTED WITH CAVEAT,"Book reference is appropriate for FSPL, two ray, and large scale propagation vocabulary, but the book is not locally text extracted in the audit folder.",No thesis wording change needed; source is used as a whole textbook reference.
10,Channel Modeling of Air-to-Ground Signal Measurement with Two-Ray Ground-Reflection Model for UAV Communication Systems,Conference paper,251-256,6,"23, 44-45, 47, 102","prior_detail_overview.tex; High level architecture; Literature ingredients and thesis adaptations. Context: des the entry point for the ML calibrated physical path loss and spread priors and the HARP-Net CKM residual architecture. The propagation ingredients follow classical FSPL, two-ray, empirical NLoS and large scale parameter models [citation] , while the residual network inherits dense prediction, FiLM conditioning and distribution aware regression ideas [cit",El modelo A2G UAV con reflexión de suelo de dos rayos y su uso para path loss.,SUPPORTED,Local PDF directly studies A2G UAV signal measurement with a two ray ground reflection model and path loss comparison.,No thesis wording change needed.
