key,type,title,doi,url,status,source_url,file,notes
rappaport,book,Wireless Communications: Principles and Practice,,https://www.pearson.com/en-us/subject-catalog/p/wireless-communications-principles-and-practice/P200000003199,skipped_non_paper_or_software,,,not a paper PDF target
cost231,techreport,Digital Mobile Radio Towards Future Generation Systems: Final Report,,https://op.europa.eu/en/publication-detail/-/publication/f2f42003-4028-4496-af95-beaa38fd475f,downloaded_report_parts,https://www.lx.it.pt/cost231/final_report.htm,C:\TFG\FINAL_THESIS\cited_papers\cost231_final_report_parts,Official COST 231 final report is provided as zipped PDF parts. Cover_pdf.zip: ok; PrefCont_pdf.ZIP: ok; Introd_pdf.ZIP: ok; Chap1_pdf.ZIP: ok; Chap2_pdf.ZIP: ok; Chap3_pdf.ZIP: ok; Chap4_pdf.ZIP: ok; Chap5_pdf.zip: ok; Chap6_pdf.zip: ok; Chap7_pdf.ZIP: ok; Chap8_pdf.zip: ok; Annexes_pdf.zip: ok
walfisch1988,article,A Theoretical Model of UHF Propagation in Urban Environments,10.1109/8.14401,,already_downloaded,10.1109/8.14401,C:\TFG\FINAL_THESIS\cited_papers\A_theoretical_model_of_UHF_propagation_in_urban_environments.pdf,manual local file present; 895160 bytes
ikegami1984,article,Propagation Factors Controlling Mean Field Strength on Urban Streets,10.1109/TAP.1984.1143419,,already_downloaded,10.1109/TAP.1984.1143419,C:\TFG\FINAL_THESIS\cited_papers\Propagation_factors_controlling_mean_field_strength_on_urban_streets.pdf,manual local file present; 707836 bytes
tr38901,techreport,Study on Channel Model for Frequencies from 0.5 to 100 GHz,,https://www.3gpp.org/ftp/Specs/archive/38_series/38.901/,skipped_non_paper_or_software,,,not a paper PDF target
threegpp22125,techreport,Uncrewed Aerial System (UAS) Support in 3GPP; Stage 1,,https://portal.3gpp.org/desktopmodules/Specifications/SpecificationDetails.aspx?specificationId=3545,skipped_non_paper_or_software,,,not a paper PDF target
khawaja_survey,article,A Survey of Air-to-Ground Propagation Channel Modeling for Unmanned Aerial Vehicles,10.1109/COMST.2019.2915069,,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\khawaja_survey__A_Survey_of_Air_to_Ground_Propagation_Channel_Modeling_for_Unmanned_Aerial_Vehicles.pdf,2997614 bytes
wocc2021,inproceedings,Channel Modeling of Air-to-Ground Signal Measurement with Two-Ray Ground-Reflection Model for UAV Communication Systems,10.1109/WOCC53213.2021.9603250,,already_downloaded,10.1109/WOCC53213.2021.9603250,C:\TFG\FINAL_THESIS\cited_papers\Channel_Modeling_of_Air-to-Ground_Signal_Measurement_with_Two-Ray_Ground-Reflection_Model_for_UAV_Communication_Systems.pdf,manual local file present; 2145709 bytes
alhourani2014,article,Optimal LAP Altitude for Maximum Coverage,10.1109/LWC.2014.2342736,,already_downloaded,10.1109/LWC.2014.2342736,C:\TFG\FINAL_THESIS\cited_papers\Optimal_LAP_Altitude_for_Maximum_Coverage.pdf,manual local file present; 737930 bytes
juang2021pathprofile,article,Explainable Deep-Learning-Based Path Loss Prediction from Path Profiles in Urban Environments,10.3390/app11156690,,downloaded,https://mdpi-res.com/d_attachment/applsci/applsci-11-06690/article_deploy/applsci-11-06690.pdf,C:\TFG\FINAL_THESIS\cited_papers\juang2021pathprofile__Explainable_Deep_Learning_Based_Path_Loss_Prediction_from_Path_Profiles_in_Urban_Environments.pdf,3649836 bytes from https://mdpi-res.com/d_attachment/applsci/applsci-11-06690/article_deploy/applsci-11-06690.pdf
zengx2021ckm,article,Toward Environment-Aware 6G Communications via Channel Knowledge Map,10.1109/MWC.001.2000327,,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\zengx2021ckm__Toward_Environment_Aware_6G_Communications_via_Channel_Knowledge_Map.pdf,2850770 bytes
ckmtutorial2024,article,A Tutorial on Environment-Aware Communications via Channel Knowledge Map for 6G,10.1109/COMST.2024.3364508,,downloaded,https://arxiv.org/pdf/2309.07460.pdf,C:\TFG\FINAL_THESIS\cited_papers\ckmtutorial2024__A_Tutorial_on_Environment_Aware_Communications_via_Channel_Knowledge_Map_for_6G.pdf,10419036 bytes from https://arxiv.org/pdf/2309.07460
ckmdata2024,article,How Much Data Is Needed for Channel Knowledge Map Construction?,10.1109/TWC.2024.3397964,,downloaded,https://arxiv.org/pdf/2312.06966.pdf,C:\TFG\FINAL_THESIS\cited_papers\ckmdata2024__How_Much_Data_Is_Needed_for_Channel_Knowledge_Map_Construction.pdf,1860490 bytes from https://arxiv.org/pdf/2312.06966
saboor2025height,misc,Millimeter-Wave UAV Channel Model with Height-Dependent Path Loss and Shadowing in Urban Scenarios,10.48550/arXiv.2511.10763,https://arxiv.org/abs/2511.10763,already_downloaded,,C:\TFG\FINAL_THESIS\cited_papers\saboor2025height__Millimeter_Wave_UAV_Channel_Model_with_Height_Dependent_Path_Loss_and_Shadowing_in_Urban_Scenar.pdf,2527265 bytes
